TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,TransactionAmount_binned,CustomerAge_binned,Target
14.09,1,0,70.0,0,81.0,5112.21,low,senior,2
376.24,1,0,68.0,0,141.0,13758.91,low,senior,2
126.29,1,2,19.0,3,56.0,1122.35,low,young,1
184.5,1,2,26.0,3,25.000000000000004,8569.06,low,young,1
13.45,0,2,45.0,3,198.0,7429.4,low,adult,1
92.15,1,0,18.0,3,172.0,781.68,low,,1
7.08,0,0,37.0,0,139.0,13316.71,low,young,2
171.42,0,1,67.0,2,291.0,2796.24,low,senior,1
106.23,0,1,51.0,1,86.0,9095.14,low,adult,2
815.96,1,0,55.0,0,120.0,1021.8800000000001,medium,adult,2
17.78,0,2,52.0,1,59.00000000000001,7599.5199999999995,low,adult,0
190.02,1,2,21.0,3,173.0,1528.81,low,young,1
494.52,0,1,24.0,3,111.0,1620.02,medium,young,1
781.76,1,0,26.0,3,123.0,189.69,medium,young,1
166.99,1,2,18.0,3,134.0,299.93,low,,1
465.45,1,0,36.0,1,129.0,3465.54,medium,young,2
555.8,0,1,19.0,3,158.0,1131.26,medium,young,1
492.93,1,2,39.0,1,234.0,5109.97,medium,adult,0
18.68,0,1,59.0,2,106.0,7948.369999999999,low,senior,1
71.48,0,2,18.0,3,169.0,6568.59,low,,1
59.32,1,1,71.0,2,37.99999999999999,5750.89,low,senior,1
85.77,1,1,38.0,0,93.0,9146.19,low,young,2
52.2,1,2,39.0,1,120.0,8974.93,low,adult,0
345.84,1,2,22.0,3,142.0,1402.5,low,young,1
145.54,1,2,21.0,3,96.0,1930.96,low,young,1
7.49,0,2,65.0,2,276.0,3634.67,low,senior,0
246.93,1,0,23.0,3,158.0,673.3499999999999,low,young,1
40.32,1,1,37.0,1,95.0,2686.52,low,young,2
127.45,1,2,44.0,0,197.0,1772.06,low,adult,0
56.17,1,1,27.0,3,283.0,1351.69,low,young,1
28.31,0,2,59.0,0,20.0,8334.47,low,senior,0
59.12,1,0,29.0,0,257.0,9823.64,low,young,2
396.45,1,0,49.0,1,168.00000000000003,9690.15,medium,adult,2
877.81,1,2,22.0,3,150.0,399.0,medium,young,1
255.26,0,1,45.0,0,50.00000000000001,14815.87,low,adult,2
124.76,1,1,49.0,1,45.0,5764.72,low,adult,2
78.13,1,1,26.0,3,145.0,900.61,low,young,1
649.28,1,0,75.0,2,137.0,4875.86,medium,senior,1
795.31,1,0,66.0,0,90.0,7914.879999999999,medium,senior,2
335.63,1,2,55.0,2,215.99999999999997,1019.39,low,adult,0
328.47,1,0,63.0,2,119.0,4323.66,low,senior,1
34.02,1,2,38.0,0,18.999999999999996,14214.48,low,young,0
241.42000000000002,0,2,57.0,0,116.00000000000001,13357.02,low,adult,0
55.32,1,0,19.0,3,117.0,241.79000000000002,low,young,1
304.31,1,1,27.0,3,33.0,868.61,low,young,1
435.27,1,1,74.0,2,90.0,4673.28,medium,senior,1
164.49,1,1,26.0,3,75.0,1509.27,low,young,1
510.23999999999995,1,2,19.0,3,105.0,781.7,medium,young,1
626.9,1,2,26.0,3,138.0,265.51,medium,young,1
22.01,0,2,41.0,1,175.0,1335.09,low,adult,0
425.34,0,2,69.0,2,121.0,3907.5399999999995,medium,senior,0
424.56,1,2,51.0,1,264.0,5183.85,medium,adult,0
85.43,1,1,67.0,0,145.0,14904.9,low,senior,2
169.5,1,1,28.0,3,142.0,918.8799999999999,low,young,1
104.63,1,0,62.0,2,90.0,4477.78,low,senior,1
316.95,1,1,25.0,3,83.0,1324.03,low,young,1
60.540000000000006,0,1,57.0,2,52.00000000000001,3534.93,low,adult,1
292.56,0,1,68.0,2,61.00000000000001,4638.37,low,senior,1
386.52,1,1,48.0,1,28.0,5630.61,medium,adult,2
112.07,1,1,23.0,3,51.00000000000001,930.3,low,young,1
568.52,1,0,46.0,1,151.99999999999997,5499.91,medium,adult,2
263.99,1,1,79.0,2,227.0,4175.02,low,senior,1
349.64,1,2,48.0,1,226.0,6651.62,low,adult,0
601.4,0,1,56.0,1,104.0,8458.29,medium,adult,2
5.77,1,2,50.0,0,123.99999999999999,13988.12,low,adult,0
201.33,0,1,42.0,1,186.0,2585.07,low,adult,2
298.42,1,1,56.0,2,225.0,3014.75,low,adult,1
521.06,1,1,25.0,3,128.0,1951.42,medium,young,1
117.28,0,2,60.0,1,16.0,3665.77,low,senior,0
189.12,0,1,32.0,1,103.0,977.01,low,young,2
133.55,1,0,44.0,1,220.0,3846.2800000000007,low,adult,2
143.21,1,2,35.0,1,135.0,6374.82,low,young,0
24.77,1,0,62.0,2,55.0,5866.01,low,senior,1
233.92,0,2,26.0,3,280.0,6537.62,low,young,1
232.12,1,0,37.0,1,51.00000000000001,6689.87,low,young,2
211.36,1,2,22.0,3,113.0,634.17,low,young,1
91.53,1,1,44.0,0,69.00000000000001,14676.05,low,adult,2
120.29,1,1,19.0,3,77.0,1362.39,low,young,1
174.25,1,2,50.0,0,67.0,10528.34,low,adult,0
183.71,1,0,38.0,1,102.0,552.52,low,young,2
345.39,0,1,58.0,1,80.0,6451.96,low,adult,2
259.91,1,2,49.0,0,170.0,7176.86,low,adult,0
154.71,1,2,34.0,0,157.0,1523.72,low,young,0
24.56,1,1,64.0,0,69.00000000000001,9869.93,low,senior,2
568.07,1,0,48.0,0,115.0,10556.81,medium,adult,2
9.61,0,2,58.0,0,179.0,12883.91,low,adult,0
392.96,1,2,24.0,3,100.00000000000001,791.65,medium,young,1
716.93,0,2,60.0,2,34.0,4064.02,medium,senior,0
223.85,1,0,53.0,1,55.0,2929.91,low,adult,2
230.66,1,1,21.0,3,135.0,618.05,low,young,1
442.12,1,2,19.0,3,260.0,1375.8,medium,young,1
644.17,1,0,29.0,1,72.0,1143.52,medium,young,2
508.67999999999995,0,1,51.0,1,127.0,7708.41,medium,adult,2
858.63,0,1,27.0,3,185.0,1872.96,medium,young,1
25.36,1,0,57.0,1,78.0,201.04,low,adult,2
147.62,1,1,71.0,2,133.0,2115.8,low,senior,1
115.02,1,1,37.0,0,175.0,7643.66,low,young,2
383.37,1,1,30.0,1,24.0,8901.93,low,young,2
98.54,0,2,20.0,3,167.0,9383.43,low,young,1
83.24,1,1,55.0,0,164.0,1181.31,low,adult,2
196.16,1,1,27.0,1,146.0,9418.86,low,young,2
129.94,1,0,32.0,1,235.0,7954.919999999999,low,young,2
306.9,1,2,46.0,1,51.00000000000001,9418.08,low,adult,0
114.98,1,2,59.0,2,80.0,6144.68,low,senior,0
756.59,1,1,27.0,3,17.0,420.65,medium,young,1
503.76000000000005,1,2,22.0,3,35.0,447.82,medium,young,1
143.03,1,0,63.0,2,147.0,7981.450000000001,low,senior,1
245.54,1,0,25.0,3,180.0,985.0600000000001,low,young,1
254.37000000000003,0,2,51.0,1,174.0,8849.26,low,adult,0
213.76,0,0,78.0,2,282.0,3528.72,low,senior,1
327.86,1,2,40.0,1,104.0,480.16,low,adult,0
2.5,1,2,47.0,0,107.0,12145.27,low,adult,0
300.08,0,2,68.0,0,47.0,13546.75,low,senior,0
56.98,0,0,43.0,1,122.0,5688.37,low,adult,2
407.65,1,2,26.0,1,61.99999999999999,8346.64,medium,young,0
115.83,1,1,39.0,1,167.0,6481.04,low,adult,2
53.57,1,0,69.0,2,121.0,1651.33,low,senior,1
63.34,0,2,46.0,0,165.0,11174.94,low,adult,0
317.87,1,2,27.0,3,91.0,145.5,low,young,1
331.65,1,2,41.0,1,61.00000000000001,4172.57,low,adult,0
5.04,1,0,56.0,2,41.0,5558.36,low,adult,1
214.54,0,2,70.0,0,247.0,11151.53,low,senior,0
598.81,1,1,57.0,0,158.0,1415.52,medium,adult,2
841.28,1,2,26.0,3,80.0,1103.64,medium,young,1
38.15,1,2,26.0,3,107.99999999999999,303.68,low,young,1
124.72,1,1,33.0,1,105.0,6309.8,low,young,2
302.45,0,1,78.0,2,40.0,5133.61,low,senior,1
208.04,1,2,47.0,1,273.0,9344.98,low,adult,0
5.77,0,1,23.0,3,254.0,1117.97,low,young,1
381.33,1,0,56.0,0,75.0,11835.35,low,adult,2
16.16,1,0,50.0,0,123.99999999999999,14401.17,low,adult,2
486.0799999999999,1,2,18.0,3,68.00000000000001,1748.69,medium,,1
336.39,1,1,21.0,3,18.0,1000.46,low,young,1
234.57,1,2,23.0,3,120.0,263.98,low,young,1
6.0,1,2,30.0,0,246.0,5442.76,low,young,0
227.14,1,0,18.0,3,294.0,341.94,low,,1
233.74,0,2,66.0,2,17.0,1066.59,low,senior,0
211.36,0,1,69.0,2,166.0,6077.96,low,senior,1
45.85,1,0,20.0,3,91.99999999999999,1659.15,low,young,1
211.36,1,2,41.0,0,142.0,421.93,low,adult,0
415.5,1,0,66.0,0,141.0,10113.66,medium,senior,2
265.76,1,2,54.0,2,91.99999999999999,4446.17,low,adult,0
69.4,1,2,80.0,2,113.0,6452.77,low,senior,0
332.93,0,1,35.0,1,293.0,2788.2,low,young,2
267.9,1,2,20.0,3,160.0,596.1599999999999,low,young,1
496.0299999999999,1,1,61.0,0,265.0,12904.66,medium,senior,2
376.26,1,0,37.0,1,245.0,9062.4,low,young,2
83.02,0,2,36.0,1,171.0,9009.56,low,young,0
93.26,0,2,20.0,3,72.0,1152.2,low,young,1
803.37,0,1,68.0,0,129.0,12168.37,medium,senior,2
